frame_number,vehicle_type,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,distance_meters,overtaking_angle_degrees,angle_accuracy_percent,safe_to_overtake,recommendation
15,motorcycle,0.6354400515556335,490,469,571,569,16.131687242798353,-12.96,82.4,False,Low detection confidence
15,car,0.5288991332054138,976,412,1018,452,80.0,1.14,54.4,False,Low detection confidence
15,car,0.5240497589111328,1016,401,1086,475,48.0,2.79,55.6,False,Low detection confidence
16,truck,0.7666931748390198,1155,233,1529,657,12.477718360071302,11.57,86.7,False,Large vehicle - maintain distance
16,motorcycle,0.6171321272850037,491,471,571,569,16.333333333333336,-12.94,82.2,False,Low detection confidence
16,car,0.5630956888198853,1017,401,1086,475,48.69565217391305,2.81,54.9,False,Low detection confidence
16,car,0.5458390116691589,976,412,1018,452,80.0,1.14,54.4,False,Low detection confidence
17,truck,0.6397960782051086,1155,233,1527,655,12.544802867383513,11.54,86.7,False,Large vehicle - maintain distance; Low detection confidence
17,motorcycle,0.6171675324440002,490,468,573,569,15.742971887550201,-12.93,82.8,False,Low detection confidence
17,car,0.6056457757949829,1017,401,1086,475,48.69565217391305,2.81,54.9,False,Low detection confidence
17,motorcycle,0.5310635566711426,660,467,710,546,26.133333333333336,-8.38,74.7,False,Low detection confidence
17,car,0.511543869972229,977,412,1019,453,80.0,1.17,54.4,False,Low detection confidence
18,truck,0.6897443532943726,1155,234,1527,653,12.544802867383513,11.54,86.7,False,Large vehicle - maintain distance; Low detection confidence
18,car,0.6609253287315369,1017,401,1087,474,48.0,2.82,55.6,False,Low detection confidence
18,motorcycle,0.6482993364334106,490,469,574,569,15.555555555555557,-12.91,83.0,False,Low detection confidence
18,motorcycle,0.5508208870887756,660,467,711,546,25.62091503267974,-8.37,75.2,False,Low detection confidence
18,car,0.5374264121055603,977,412,1019,453,80.0,1.17,54.4,False,Low detection confidence
19,car,0.6592451333999634,1017,400,1088,474,47.32394366197183,2.84,56.3,False,Low detection confidence
19,motorcycle,0.6424708366394043,491,472,575,570,15.555555555555557,-12.88,83.0,False,Low detection confidence
19,bus,0.6190224885940552,1157,235,1525,652,13.695652173913047,11.54,85.5,False,Large vehicle - maintain distance; Low detection confidence
20,truck,0.6517409086227417,1155,236,1524,652,12.646793134598013,11.49,86.6,False,Large vehicle - maintain distance; Low detection confidence
20,car,0.609337329864502,1018,400,1088,474,48.0,2.85,55.6,False,Low detection confidence
